Description,Date,Country, SaleAmount 
COSY HOUR CIGAR BOX MATCHES , 11/14/2011 17:55, United Kingdom, $531.00 
RETROSPOT CIGAR BOX MATCHES , 3/25/2011 16:25, United Kingdom, $152.64 
COSY HOUR CIGAR BOX MATCHES , 10/17/2011 15:19, United Kingdom, $152.64 
RETROSPOT CIGAR BOX MATCHES , 11/23/2011 10:31, United Kingdom, $152.64 
RETROSPOT CIGAR BOX MATCHES , 12/5/2011 13:33, United Kingdom, $112.32 
RETROSPOT CIGAR BOX MATCHES , 11/25/2011 13:44, United Kingdom, $90.00 
COSY HOUR CIGAR BOX MATCHES , 10/30/2011 14:27, United Kingdom, $60.00 
RETROSPOT CIGAR BOX MATCHES , 12/2/2010 10:17, United Kingdom, $30.00 
COSY HOUR CIGAR BOX MATCHES , 12/3/2010 10:26, United Kingdom, $30.00 
RETROSPOT CIGAR BOX MATCHES , 12/3/2010 12:29, United Kingdom, $30.00 
COSY HOUR CIGAR BOX MATCHES , 12/6/2010 15:14, United Kingdom, $30.00 
RETROSPOT CIGAR BOX MATCHES , 12/7/2010 11:33, United Kingdom, $30.00 
COSY HOUR CIGAR BOX MATCHES , 12/9/2010 11:48, Channel Islands, $30.00 
RETROSPOT CIGAR BOX MATCHES , 12/13/2010 11:29, United Kingdom, $30.00 
RETROSPOT CIGAR BOX MATCHES , 1/19/2011 9:05, Switzerland, $30.00 
RETROSPOT CIGAR BOX MATCHES , 1/25/2011 13:37, Germany, $30.00 
RETROSPOT CIGAR BOX MATCHES , 2/7/2011 14:33, United Kingdom, $30.00 
RETROSPOT CIGAR BOX MATCHES , 2/21/2011 11:10, United Kingdom, $30.00 
RETROSPOT CIGAR BOX MATCHES , 2/22/2011 13:08, United Kingdom, $30.00 
RETROSPOT CIGAR BOX MATCHES , 2/23/2011 13:21, United Kingdom, $30.00 
RETROSPOT CIGAR BOX MATCHES , 2/25/2011 10:53, United Kingdom, $30.00 
RETROSPOT CIGAR BOX MATCHES , 2/28/2011 10:37, United Kingdom, $30.00 
RETROSPOT CIGAR BOX MATCHES , 4/19/2011 10:49, United Kingdom, $30.00 
RETROSPOT CIGAR BOX MATCHES , 4/20/2011 15:32, United Kingdom, $30.00 
RETROSPOT CIGAR BOX MATCHES , 5/1/2011 12:35, United Kingdom, $30.00 
RETROSPOT CIGAR BOX MATCHES , 5/27/2011 9:39, United Kingdom, $30.00 
COSY HOUR CIGAR BOX MATCHES , 5/27/2011 9:39, United Kingdom, $30.00 
RETROSPOT CIGAR BOX MATCHES , 6/2/2011 9:04, Germany, $30.00 
RETROSPOT CIGAR BOX MATCHES , 6/8/2011 13:00, United Kingdom, $30.00 
COSY HOUR CIGAR BOX MATCHES , 6/8/2011 13:00, United Kingdom, $30.00 
RETROSPOT CIGAR BOX MATCHES , 7/13/2011 12:06, United Kingdom, $30.00 
RETROSPOT CIGAR BOX MATCHES , 7/21/2011 19:34, EIRE, $30.00 
RETROSPOT CIGAR BOX MATCHES , 7/29/2011 9:57, United Kingdom, $30.00 
RETROSPOT CIGAR BOX MATCHES , 8/10/2011 11:30, United Kingdom, $30.00 
RETROSPOT CIGAR BOX MATCHES , 8/16/2011 8:58, United Kingdom, $30.00 
RETROSPOT CIGAR BOX MATCHES , 8/23/2011 13:50, United Kingdom, $30.00 
RETROSPOT CIGAR BOX MATCHES , 9/9/2011 13:44, Norway, $30.00 
COSY HOUR CIGAR BOX MATCHES , 9/13/2011 10:17, United Kingdom, $30.00 
COSY HOUR CIGAR BOX MATCHES , 9/14/2011 9:21, United Kingdom, $30.00 
RETROSPOT CIGAR BOX MATCHES , 9/19/2011 12:27, United Kingdom, $30.00 
RETROSPOT CIGAR BOX MATCHES , 9/20/2011 11:16, United Kingdom, $30.00 
COSY HOUR CIGAR BOX MATCHES , 9/25/2011 12:34, United Kingdom, $30.00 
COSY HOUR CIGAR BOX MATCHES , 9/29/2011 18:53, United Kingdom, $30.00 
COSY HOUR CIGAR BOX MATCHES , 10/6/2011 12:22, United Kingdom, $30.00 
COSY HOUR CIGAR BOX MATCHES , 10/10/2011 14:57, United Kingdom, $30.00 
RETROSPOT CIGAR BOX MATCHES , 10/10/2011 14:57, United Kingdom, $30.00 
COSY HOUR CIGAR BOX MATCHES , 10/11/2011 14:52, France, $30.00 
COSY HOUR CIGAR BOX MATCHES , 10/16/2011 15:32, United Kingdom, $30.00 
